epi_week,disease,cases
2012-W01,Dengue Fever,74
2012-W02,Dengue Fever,64
2012-W03,Dengue Fever,60
2012-W04,Dengue Fever,50
2012-W05,Dengue Fever,84
2012-W06,Dengue Fever,87
2012-W07,Dengue Fever,65
2012-W08,Dengue Fever,50
2012-W09,Dengue Fever,55
2012-W10,Dengue Fever,45
2012-W11,Dengue Fever,64
2012-W12,Dengue Fever,72
2012-W13,Dengue Fever,48
2012-W14,Dengue Fever,52
2012-W15,Dengue Fever,81
2012-W16,Dengue Fever,77
2012-W17,Dengue Fever,64
2012-W18,Dengue Fever,86
2012-W19,Dengue Fever,96
2012-W20,Dengue Fever,80
2012-W21,Dengue Fever,80
2012-W22,Dengue Fever,81
2012-W23,Dengue Fever,99
2012-W24,Dengue Fever,87
2012-W25,Dengue Fever,128
2012-W26,Dengue Fever,151
2012-W27,Dengue Fever,140
2012-W28,Dengue Fever,131
2012-W29,Dengue Fever,124
2012-W30,Dengue Fever,110
2012-W31,Dengue Fever,94
2012-W32,Dengue Fever,127
2012-W33,Dengue Fever,115
2012-W34,Dengue Fever,92
2012-W35,Dengue Fever,102
2012-W36,Dengue Fever,75
2012-W37,Dengue Fever,73
2012-W38,Dengue Fever,72
2012-W39,Dengue Fever,99
2012-W40,Dengue Fever,103
2012-W41,Dengue Fever,122
2012-W42,Dengue Fever,105
2012-W43,Dengue Fever,84
2012-W44,Dengue Fever,104
2012-W45,Dengue Fever,99
2012-W46,Dengue Fever,87
2012-W47,Dengue Fever,99
2012-W48,Dengue Fever,80
2012-W49,Dengue Fever,78
2012-W50,Dengue Fever,104
2012-W51,Dengue Fever,92
2012-W52,Dengue Fever,111
2013-W01,Dengue Fever,132
2013-W02,Dengue Fever,204
2013-W03,Dengue Fever,219
2013-W04,Dengue Fever,264
2013-W05,Dengue Fever,292
2013-W06,Dengue Fever,322
2013-W07,Dengue Fever,246
2013-W08,Dengue Fever,294
2013-W09,Dengue Fever,247
2013-W10,Dengue Fever,272
2013-W11,Dengue Fever,307
2013-W12,Dengue Fever,305
2013-W13,Dengue Fever,314
2013-W14,Dengue Fever,402
2013-W15,Dengue Fever,491
2013-W16,Dengue Fever,505
2013-W17,Dengue Fever,536
2013-W18,Dengue Fever,547
2013-W19,Dengue Fever,556
2013-W20,Dengue Fever,611
2013-W21,Dengue Fever,637
2013-W22,Dengue Fever,742
2013-W23,Dengue Fever,813
2013-W24,Dengue Fever,805
2013-W25,Dengue Fever,838
